,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
224,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,159.6
225,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,160.1
226,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,160.6
227,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,161.1
228,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,161.6
229,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,162.1
230,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,162.6
231,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,163.1
232,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,163.6
233,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,164.1
234,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,164.6
235,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,165.1
236,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,165.6
237,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,166.1
238,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,166.6
239,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,167.1
240,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,167.6
241,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,168.1
242,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,168.6
243,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,169.1
244,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,169.6
245,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,170.1
246,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,170.6
